id,amount,currency,comment
1,"434",AUD,order payment
2,"543",INR,order refunded
3,993,AUD,order payment
4,868,RMB,order payment
5,61,AUD,order pending
6,565,USD,order refunded
7,938,USD,order refunded
8,178,USD,order pending
9,187,RMB,order pending
10,823,USD,order pending
11,763,USD,order pending
12,797,USD,order pending
13,599,USD,order payment
14,822,USD,order pending
15,37,INR,order refunded
16,313,INR,order payment
17,333,RMB,order payment
18,10,INR,order payment
19,203,AUD,order pending
20,663,INR,order refunded
21,597,USD,order pending
22,266,AUD,order payment
23,743,RMB,order pending
24,780,RMB,order payment
25,746,USD,order refunded
26,794,USD,order pending
27,254,USD,order refunded
28,254,RMB,order payment
29,548,RMB,order payment
30,757,INR,order payment
31,681,INR,order payment
32,408,AUD,order refunded
33,524,USD,order refunded
34,463,AUD,order refunded
35,737,RMB,order payment
36,133,RMB,order pending
37,307,RMB,order refunded
38,412,AUD,order payment
39,319,INR,order payment
40,455,AUD,order refunded
41,144,RMB,order refunded
42,733,RMB,order payment
43,913,USD,order pending
44,171,AUD,order payment
45,275,AUD,order pending
46,374,INR,order payment
47,519,INR,order payment
48,873,INR,order payment
49,752,USD,order payment
50,642,USD,order payment
51,57,RMB,order pending
52,552,RMB,order payment
53,667,USD,order payment
54,419,INR,order refunded
55,108,USD,order refunded
56,182,RMB,order refunded
57,596,USD,order refunded
58,392,RMB,order refunded
59,428,RMB,order payment
60,957,INR,order refunded
61,177,AUD,order payment
62,658,AUD,order pending
63,53,RMB,order payment
64,138,RMB,order payment
65,514,INR,order refunded
66,523,RMB,order refunded
67,658,RMB,order pending
68,589,RMB,order payment
69,245,RMB,order pending
70,44,AUD,order payment
71,331,RMB,order refunded
72,800,INR,order payment
73,820,INR,order refunded
74,523,AUD,order pending
75,552,INR,order payment
76,456,USD,order pending
77,860,RMB,order payment
78,141,INR,order refunded
79,115,INR,order pending
80,519,INR,order payment
81,537,AUD,order refunded
82,38,RMB,order pending
83,266,INR,order payment
84,358,USD,order refunded
85,370,USD,order payment
86,277,INR,order refunded
87,690,USD,order payment
88,652,AUD,order pending
89,948,RMB,order refunded
90,32,INR,order payment
91,611,RMB,order payment
92,110,INR,order pending
93,128,AUD,order refunded
94,301,USD,order pending
95,784,INR,order payment
96,295,INR,order pending
97,237,INR,order payment
98,284,INR,order refunded
99,55,AUD,order payment
100,713,INR,order refunded
101,573,USD,order payment
102,440,AUD,order payment
103,910,AUD,order payment
104,457,USD,order payment
105,816,USD,order payment
106,43,RMB,order refunded
107,734,USD,order payment
108,118,USD,order pending
109,605,AUD,order refunded
110,560,RMB,order pending
111,552,RMB,order pending
112,717,USD,order payment
113,669,INR,order pending
114,690,USD,order refunded
115,156,INR,order payment
116,311,AUD,order pending
117,208,INR,order pending
118,925,AUD,order refunded
119,423,INR,order pending
120,843,RMB,order payment
121,824,RMB,order refunded
122,674,AUD,order refunded
123,555,RMB,order refunded
124,442,RMB,order refunded
125,818,RMB,order pending
126,441,USD,order pending
127,451,RMB,order refunded
128,534,USD,order pending
129,690,USD,order refunded
130,268,INR,order pending
131,657,AUD,order payment
132,504,INR,order refunded
133,533,USD,order payment
134,901,USD,order pending
135,358,INR,order refunded
136,843,AUD,order payment
137,290,INR,order refunded
138,712,RMB,order payment
139,74,USD,order pending
140,818,USD,order refunded
141,763,USD,order pending
142,432,INR,order pending
143,912,USD,order pending
144,442,INR,order payment
145,831,AUD,order payment
146,709,INR,order pending
147,13,AUD,order payment
148,982,INR,order refunded
149,688,AUD,order refunded
150,260,USD,order pending
151,864,USD,order payment
152,110,RMB,order refunded
153,752,USD,order refunded
154,152,AUD,order payment
155,847,AUD,order pending
156,450,RMB,order pending
157,275,AUD,order pending
158,88,USD,order payment
159,144,USD,order payment
160,277,RMB,order payment
161,401,USD,order pending
162,368,RMB,order payment
163,593,USD,order pending
164,130,USD,order pending
165,534,AUD,order refunded
166,404,USD,order pending
167,954,USD,order pending
168,655,RMB,order refunded
169,305,INR,order payment
170,822,USD,order pending
171,998,RMB,order payment
172,666,USD,order refunded
173,587,USD,order payment
174,118,AUD,order refunded
175,659,RMB,order payment
176,139,INR,order refunded
177,972,USD,order refunded
178,745,INR,order payment
179,621,INR,order refunded
180,527,USD,order pending
181,782,AUD,order refunded
182,514,AUD,order pending
183,523,INR,order refunded
184,706,RMB,order payment
185,777,INR,order pending
186,894,INR,order payment
187,5,RMB,order refunded
188,206,USD,order payment
189,980,INR,order refunded
190,655,AUD,order payment
191,56,INR,order payment
192,820,USD,order refunded
193,93,INR,order refunded
194,653,USD,order payment
195,300,INR,order refunded
196,194,INR,order pending
197,567,AUD,order pending
198,683,INR,order pending
199,473,USD,order refunded
200,933,AUD,order payment
201,132,INR,order refunded
202,821,USD,order pending
203,953,USD,order payment
204,615,AUD,order payment
205,426,INR,order payment
206,895,INR,order payment
207,78,AUD,order pending
